pm10,so2,co,o3,no2,kategori
40.0,6.0,13.0,185.0,7.0,1.0
31.0,2.0,17.0,91.0,11.0,2.0
31.0,2.0,26.0,72.0,10.0,2.0
19.0,2.0,40.0,115.0,9.0,1.0
51.0,4.0,45.0,128.0,11.0,1.0
20.0,1.0,21.0,158.0,10.0,1.0
18.0,1.0,15.0,52.0,5.0,2.0
16.0,1.0,27.0,101.0,10.0,1.0
22.0,2.0,15.0,106.0,12.0,1.0
30.0,3.0,22.0,95.0,8.0,2.0
21.0,1.0,27.0,99.0,10.0,2.0
27.0,1.0,50.0,84.0,10.0,2.0
25.0,2.0,18.0,89.0,13.0,2.0
21.0,1.0,15.0,82.0,12.0,2.0
17.0,3.0,26.0,71.0,10.0,2.0
24.0,2.0,26.0,73.0,7.0,2.0
25.0,1.0,10.0,46.0,3.0,3.0
14.0,1.0,10.0,38.0,3.0,3.0
16.0,2.0,6.0,37.0,3.0,3.0
13.0,0.0,7.0,29.0,4.0,3.0
21.0,1.0,29.0,34.0,5.0,3.0
18.0,1.0,19.0,37.0,7.0,3.0
11.0,2.0,13.0,40.0,6.0,3.0
13.0,1.0,8.0,43.0,4.0,3.0
31.0,2.0,32.0,41.0,7.0,3.0
17.0,1.0,8.0,61.0,5.0,2.0
21.0,1.0,13.0,57.0,5.0,2.0
18.0,1.0,6.0,45.0,4.0,3.0
16.0,1.0,3.0,25.0,1.0,3.0
68.0,2.0,35.0,96.0,10.0,2.0
72.0,2.0,28.0,52.0,16.0,2.0
67.0,1.0,55.0,72.0,13.0,2.0
85.0,1.0,43.0,75.0,13.0,2.0
59.0,2.0,26.0,129.0,17.0,1.0
52.0,1.0,20.0,81.0,13.0,2.0
63.0,1.0,34.0,88.0,16.0,2.0
55.0,20.0,38.0,121.0,12.0,1.0
68.0,2.0,30.0,86.0,16.0,2.0
67.0,6.0,26.0,95.0,10.0,2.0
47.0,1.0,26.0,121.0,15.0,1.0
57.0,2.0,24.0,77.0,13.0,2.0
54.0,2.0,24.0,75.0,16.0,2.0
45.0,1.0,12.0,67.0,6.0,2.0
32.0,53.0,10.0,55.0,5.0,2.0
32.0,1.0,17.0,48.0,5.0,3.0
29.0,12.0,13.0,47.0,6.0,3.0
53.0,1.0,42.0,67.0,9.0,2.0
46.0,7.0,44.0,71.0,19.0,2.0
34.0,1.0,17.0,45.0,9.0,3.0
35.0,17.0,14.0,69.0,7.0,2.0
58.0,0.0,50.0,57.0,10.0,2.0
41.0,51.0,17.0,73.0,13.0,2.0
57.0,15.0,23.0,70.0,9.0,2.0
37.0,6.0,17.0,101.0,10.0,1.0
33.0,14.0,8.0,42.0,6.0,3.0
69.0,5.0,29.0,47.0,13.0,2.0
51.0,3.0,12.0,36.0,8.0,2.0
64.0,3.0,57.0,38.0,17.0,2.0
87.0,4.0,52.0,117.0,24.0,1.0
54.0,2.0,28.0,106.0,15.0,1.0
38.0,1.0,14.0,33.0,6.0,3.0
45.0,1.0,41.0,92.0,12.0,2.0
65.0,3.0,25.0,107.0,14.0,1.0
66.0,3.0,17.0,63.0,9.0,2.0
53.0,2.0,35.0,165.0,16.0,1.0
63.0,2.0,39.0,74.0,18.0,2.0
64.0,2.0,23.0,85.0,11.0,2.0
33.0,4.0,18.0,90.0,12.0,2.0
54.0,5.0,22.0,44.0,15.0,2.0
49.0,4.0,19.0,48.0,8.0,3.0
32.0,3.0,7.0,40.0,5.0,3.0
14.0,2.0,7.0,34.0,4.0,3.0
14.0,3.0,11.0,34.0,5.0,3.0
4.0,4.0,11.0,30.0,7.0,3.0
6.0,4.0,23.0,27.0,8.0,3.0
9.0,3.0,30.0,31.0,14.0,3.0
2.0,3.0,18.0,37.0,8.0,3.0
3.0,3.0,10.0,41.0,7.0,3.0
12.0,2.0,29.0,45.0,13.0,3.0
6.0,3.0,10.0,49.0,6.0,3.0
6.0,3.0,12.0,46.0,8.0,3.0
6.0,2.0,13.0,35.0,9.0,3.0
13.0,2.0,7.0,25.0,3.0,3.0
48.0,2.0,24.0,62.0,9.0,2.0
52.0,2.0,26.0,75.0,12.0,2.0
55.0,2.0,23.0,79.0,13.0,2.0
42.0,1.0,26.0,73.0,14.0,2.0
44.0,2.0,38.0,48.0,13.0,3.0
103.0,5.0,80.0,57.0,31.0,1.0
87.0,6.0,73.0,72.0,30.0,2.0
63.0,4.0,34.0,53.0,17.0,2.0
64.0,4.0,40.0,53.0,15.0,2.0
61.0,4.0,29.0,76.0,10.0,2.0
58.0,1.0,31.0,76.0,10.0,2.0
47.0,2.0,24.0,55.0,11.0,2.0
63.0,3.0,37.0,101.0,21.0,1.0
65.0,4.0,36.0,70.0,20.0,2.0
60.0,2.0,35.0,65.0,19.0,2.0
76.0,2.0,42.0,73.0,21.0,2.0
64.0,2.0,30.0,58.0,14.0,2.0
53.0,1.0,33.0,53.0,16.0,2.0
55.0,2.0,18.0,63.0,19.0,2.0
71.0,3.0,35.0,49.0,21.0,2.0
74.0,3.0,37.0,69.0,23.0,2.0
89.0,3.0,53.0,108.0,26.0,1.0
71.0,2.0,37.0,114.0,18.0,1.0
54.0,2.0,18.0,37.0,10.0,2.0
46.0,1.0,23.0,63.0,12.0,2.0
37.0,8.0,13.0,125.0,14.0,1.0
43.0,7.0,13.0,216.0,12.0,0.0
44.0,7.0,15.0,217.0,14.0,0.0
29.0,5.0,14.0,217.0,12.0,0.0
31.0,5.0,17.0,132.0,16.0,1.0
93.0,17.0,75.0,99.0,35.0,2.0
79.0,20.0,51.0,166.0,25.0,1.0
53.0,12.0,17.0,183.0,13.0,1.0
43.0,12.0,22.0,213.0,12.0,0.0
37.0,7.0,14.0,170.0,8.0,1.0
42.0,7.0,20.0,172.0,16.0,1.0
75.0,32.0,24.0,187.0,37.0,1.0
55.0,9.0,25.0,204.0,16.0,0.0
64.0,25.0,17.0,207.0,19.0,0.0
70.0,15.0,36.0,205.0,19.0,0.0
55.0,13.0,26.0,210.0,18.0,0.0
58.0,12.0,28.0,212.0,13.0,0.0
51.0,11.0,18.0,176.0,15.0,1.0
69.0,36.0,19.0,206.0,14.0,0.0
63.0,14.0,19.0,217.0,12.0,0.0
62.0,12.0,24.0,178.0,14.0,1.0
66.0,13.0,27.0,204.0,15.0,0.0
70.0,19.0,20.0,168.0,11.0,1.0
51.0,15.0,26.0,198.0,18.0,1.0
59.0,15.0,16.0,197.0,15.0,1.0
67.0,19.0,22.0,198.0,16.0,1.0
64.0,16.0,19.0,187.0,13.0,1.0
86.0,17.0,60.0,149.0,28.0,1.0
67.0,13.0,37.0,276.0,19.0,0.0
59.0,18.0,21.0,263.0,18.0,0.0
48.0,10.0,18.0,267.0,8.0,0.0
13.0,1.0,4.0,27.0,1.0,3.0
18.0,2.0,8.0,59.0,4.0,2.0
33.0,2.0,16.0,52.0,6.0,2.0
21.0,1.0,15.0,39.0,8.0,3.0
20.0,2.0,8.0,37.0,4.0,3.0
23.0,4.0,45.0,70.0,11.0,2.0
36.0,2.0,44.0,66.0,12.0,2.0
33.0,4.0,13.0,64.0,10.0,2.0
32.0,2.0,31.0,29.0,5.0,3.0
23.0,1.0,16.0,18.0,4.0,3.0
31.0,2.0,11.0,32.0,6.0,3.0
28.0,3.0,20.0,71.0,8.0,2.0
30.0,2.0,23.0,23.0,5.0,3.0
22.0,3.0,8.0,34.0,5.0,3.0
52.0,4.0,17.0,54.0,8.0,2.0
32.0,3.0,9.0,34.0,9.0,3.0
26.0,2.0,15.0,47.0,7.0,3.0
38.0,2.0,9.0,36.0,6.0,3.0
27.0,4.0,12.0,73.0,7.0,2.0
46.0,3.0,10.0,96.0,10.0,2.0
20.0,2.0,8.0,80.0,7.0,2.0
28.0,2.0,11.0,70.0,13.0,2.0
31.0,2.0,11.0,77.0,8.0,2.0
21.0,2.0,17.0,68.0,10.0,2.0
21.0,3.0,8.0,82.0,10.0,2.0
35.0,2.0,24.0,99.0,8.0,2.0
46.0,4.0,35.0,129.0,11.0,1.0
39.0,1.0,20.0,116.0,9.0,1.0
40.0,2.0,17.0,26.0,9.0,3.0
32.0,3.0,11.0,59.0,9.0,2.0
36.0,23.0,9.0,44.0,5.0,3.0
54.0,1.0,13.0,80.0,8.0,2.0
63.0,1.0,33.0,64.0,11.0,2.0
46.0,4.0,17.0,72.0,9.0,2.0
34.0,1.0,13.0,52.0,10.0,2.0
90.0,3.0,68.0,95.0,17.0,2.0
69.0,2.0,48.0,117.0,22.0,1.0
64.0,5.0,23.0,69.0,10.0,2.0
59.0,2.0,48.0,67.0,11.0,2.0
46.0,0.0,22.0,35.0,5.0,3.0
51.0,1.0,18.0,32.0,5.0,2.0
57.0,1.0,30.0,119.0,14.0,1.0
58.0,1.0,33.0,33.0,11.0,2.0
55.0,3.0,16.0,129.0,15.0,1.0
82.0,3.0,38.0,104.0,13.0,1.0
56.0,2.0,19.0,77.0,8.0,2.0
51.0,1.0,26.0,59.0,7.0,2.0
61.0,1.0,30.0,48.0,10.0,2.0
63.0,3.0,15.0,81.0,13.0,2.0
68.0,4.0,22.0,82.0,14.0,2.0
60.0,1.0,21.0,65.0,14.0,2.0
75.0,2.0,42.0,68.0,14.0,2.0
67.0,1.0,19.0,66.0,12.0,2.0
53.0,1.0,29.0,65.0,11.0,2.0
56.0,2.0,18.0,89.0,14.0,2.0
67.0,1.0,23.0,92.0,11.0,2.0
73.0,2.0,24.0,107.0,12.0,1.0
96.0,4.0,68.0,124.0,22.0,1.0
78.0,1.0,36.0,69.0,18.0,2.0
56.0,1.0,23.0,54.0,12.0,2.0
54.0,2.0,23.0,98.0,10.0,2.0
9.0,3.0,8.0,34.0,3.0,3.0
9.0,3.0,9.0,47.0,5.0,3.0
8.0,4.0,16.0,48.0,8.0,3.0
26.0,1.0,13.0,30.0,8.0,3.0
3.0,2.0,13.0,37.0,8.0,3.0
36.0,7.0,79.0,69.0,18.0,2.0
19.0,6.0,90.0,96.0,28.0,2.0
8.0,8.0,12.0,44.0,11.0,3.0
10.0,10.0,21.0,39.0,12.0,3.0
58.0,3.0,9.0,31.0,5.0,2.0
13.0,3.0,10.0,26.0,3.0,3.0
22.0,4.0,30.0,75.0,13.0,2.0
49.0,4.0,19.0,20.0,8.0,3.0
52.0,4.0,15.0,62.0,14.0,2.0
64.0,5.0,27.0,54.0,14.0,2.0
67.0,6.0,25.0,50.0,10.0,2.0
56.0,4.0,33.0,39.0,10.0,2.0
46.0,4.0,9.0,35.0,4.0,3.0
59.0,5.0,19.0,100.0,11.0,2.0
63.0,3.0,20.0,72.0,13.0,2.0
59.0,3.0,26.0,85.0,18.0,2.0
74.0,3.0,26.0,58.0,16.0,2.0
76.0,3.0,37.0,52.0,14.0,2.0
51.0,2.0,23.0,64.0,11.0,2.0
47.0,4.0,17.0,81.0,12.0,2.0
81.0,3.0,44.0,84.0,17.0,2.0
80.0,3.0,31.0,112.0,14.0,1.0
90.0,4.0,36.0,213.0,12.0,0.0
79.0,4.0,21.0,155.0,8.0,1.0
61.0,3.0,14.0,34.0,7.0,2.0
38.0,3.0,11.0,68.0,5.0,2.0
56.0,2.0,40.0,69.0,22.0,2.0
66.0,2.0,34.0,56.0,23.0,2.0
71.0,2.0,43.0,111.0,27.0,1.0
62.0,2.0,35.0,73.0,17.0,2.0
56.0,2.0,33.0,47.0,16.0,2.0
51.0,1.0,23.0,89.0,16.0,2.0
47.0,2.0,23.0,57.0,11.0,2.0
56.0,2.0,42.0,66.0,25.0,2.0
56.0,2.0,37.0,94.0,23.0,2.0
61.0,2.0,28.0,47.0,14.0,2.0
54.0,3.0,33.0,62.0,15.0,2.0
56.0,2.0,33.0,54.0,21.0,2.0
34.0,1.0,22.0,27.0,8.0,3.0
34.0,1.0,15.0,44.0,7.0,3.0
47.0,1.0,22.0,52.0,7.0,2.0
47.0,1.0,30.0,61.0,11.0,2.0
60.0,1.0,37.0,117.0,32.0,1.0
49.0,1.0,31.0,121.0,22.0,1.0
60.0,2.0,46.0,88.0,20.0,2.0
65.0,2.0,32.0,99.0,20.0,2.0
68.0,2.0,26.0,75.0,19.0,2.0
56.0,1.0,32.0,68.0,12.0,2.0
73.0,2.0,53.0,77.0,20.0,2.0
64.0,2.0,32.0,66.0,12.0,2.0
82.0,1.0,43.0,63.0,13.0,2.0
54.0,14.0,27.0,268.0,14.0,0.0
64.0,17.0,21.0,57.0,19.0,2.0
62.0,17.0,26.0,95.0,19.0,2.0
52.0,13.0,28.0,91.0,17.0,2.0
54.0,15.0,23.0,54.0,15.0,2.0
24.0,20.0,19.0,101.0,14.0,1.0
70.0,9.0,19.0,62.0,15.0,2.0
47.0,25.0,23.0,52.0,18.0,2.0
